"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON"
66815,"Notostomus japonicus","spinyridge shrimp",1989,NA,NA,NA,NA,NA,NA,66815,"Notostomus japonicus","spinyridge shrimp",88,"NP shrimp",66815,"Notostomus japonicus","spinyridge shrimp",89,"NP shrimp","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Notostomus","japonicus"
66839,"Hymenodora sp.",NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Oplophoridae","Hymenodora",NA
66840,"Hymenodora frontalis","Pacific ambereye",1984,NA,NA,NA,NA,NA,NA,66840,"Hymenodora frontalis","Pacific ambereye",88,"NP shrimp",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Oplophoridae","Hymenodora","frontalis"
66860,"Acanthephyra sp.",NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Oplophoridae","Acanthephyra",NA
83080,"Astrochele laevis",NA,1999,NA,NA,NA,NA,NA,NA,83080,"Astrochele laevis","(blank)",90,"Brittle stars",83080,"Astrochele laevis","",91,"Brittle stars","Echinodermata","Ophiuroidea","Phrynophiurida","Gorgonocephalidae","Astrochele","laevis"
91064,"Axinella blanca","firm finger sponge",1999,91064,"Plicatellopsis amphispicula","firm finger sponge",106,"sponges","Sponges",91064,"Axinella blanca","firm finger sponge",101,"Sponges",91064,"Axinella blanca","firm finger sponge",102,"Sponges","Porifera","Demospongiae","Halichondrida","Axinellidae","Axinella","blanca"
436,"Bathyraja interrupta egg case","Bering skate egg case",2000,436,"Bathyraja interrupta egg case","(blank)",57,"oth_skate","Other skates",436,"Bathyraja interrupta egg case","(blank)",49,"Other skates",436,"Bathyraja interrupta egg case","",54,"Other skates","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","interrupta"
43050,"Oceanactis diomedeae","grape anemone",1999,43050,"Oceanactis diomedeae","grape anemone",101,"anemones","",43050,"Oceanactis diomedeae","grape anemone",96,"Anemones",43050,"Oceanactis diomedeae","grape anemone",97,"Anemones","Cnidaria","Anthozoa","Actiniaria","Minyadidae","Oceanactis","diomedeae"
10111,"Atheresthes sp.",NA,2000,10111,"(blank)","Atheresthes sp.",39,"arrowtooth","Arrowtooth",NA,NA,NA,NA,NA,10111,"Atheresthes sp.","",36,"Arrowtooth","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes",NA
21847,"Stomiidae","barbeled dragonfish",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Stomiiformes","Stomiidae",NA,NA
91057,"Stelodoryx oxeata","scapula sponge",2002,91057,"(blank)","scapula sponge",106,"sponges","Sponges",91057,"Stelodoryx oxeata","scapula sponge",101,"Sponges",91057,"Stelodoryx oxeata","scapula sponge",102,"Sponges","Porifera","Demospongiae","Poecilosclerida","Myxillidae","Stelodoryx","oxeata"
