"species_code","species_name","common_name","year_added","kingdom_taxon","phylum_taxon","class_taxon","order_taxon","family_taxon","genus_taxon","species_taxon","report_name_scientific","ebs_ecopath","ai_ecopath","goa_ecopath","ebs_guild","ai_guild","goa_guild","final_goa"
10155,"Liopsetta glacialis","Arctic flounder",1987,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Liopsetta","glacialis","Liopsetta glacialis","misc_flats",NA,NA,"Benthic foragers",NA,NA,"ZERO"
10160,"Eopsetta jordani","petrale sole",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","jordani","Eopsetta jordani",NA,"Misc. Flatfish","Misc. Flatfish",NA,"Benthic foragers","Benthic foragers","Shallow_water_flatfish"
10170,"Parophrys vetulus","English sole",1987,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys","vetulus","Parophrys vetulus","misc_flats","Misc. Flatfish","Misc. Flatfish","Benthic foragers","Benthic foragers","Benthic foragers","Shallow_water_flatfish"
10180,"Microstomus pacificus","Dover sole",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","pacificus","Microstomus pacificus","dover_sole","Dover Sole","Dover Sole","Benthic foragers","Benthic foragers","Benthic foragers","Deep_water_flatfish"
10190,"Microstomus bathybius","deepsea sole",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Embassichthys","bathybius","Embassichthys bathybius",NA,NA,"Misc. Flatfish",NA,NA,"Benthic foragers","Deep_water_flatfish"
10200,"Glyptocephalus zachirus","rex sole",1987,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","zachirus","Glyptocephalus zachirus","rex_sole","Rex Sole","Rex Sole","Benthic foragers","Benthic foragers","Benthic foragers","Rex_sole"
10201,"Glyptocephalus zachirus larvae","rex sole larvae",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","zachirus","Glyptocephalus zachirus",NA,NA,NA,NA,NA,NA,"ZERO"
10209,"Limanda aspera (juvenile)","yellowfin sole (juvenile)",2016,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","aspera","Limanda aspera",NA,NA,NA,NA,NA,NA,"ZERO"
10210,"Limanda aspera","yellowfin sole",1994,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","aspera","Limanda aspera","yf_sole","YF. Sole","YF. Sole","Benthic foragers","Benthic foragers","Benthic foragers","Shallow_water_flatfish"
10211,"Myzopsetta proboscidea","longhead dab",1987,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","proboscidea","Limanda proboscidea","misc_flats",NA,NA,"Benthic foragers",NA,NA,"ZERO"
